X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
A1BG,0.014585125,104,0.85681903,0.944544755,0.924682218,0.5788,0.7771,0.2225,0.2863,NA,NA,NA,NA,All
A1CF,0.268512499,99,0.001198561,0.028065046,0.043848416,8858,1.194,44.94,0.005073,NA,NA,NA,NA,All
A2M,-0.080772424,128,0.266781235,0.57960008,0.787542061,0.7261,22.4,0.2726,0.01217,NA,NA,NA,NA,All
A2ML1,0.15648734,130,0.030122071,0.186918987,0.804301114,0.3914,879485,4.074,4.633e-06,NA,NA,NA,NA,All
A3GALT2,0.047720518,80,0.605674217,0.822904244,0.872813332,0.668,2.487,0.2324,0.09344,NA,NA,NA,NA,All
A4GALT,-0.02340801,100,0.776536291,0.908955813,0.592043936,0.2145,0.2108,0.2353,1.097,NA,NA,NA,NA,All
A4GNT,-0.004443993,98,0.957466171,0.984686815,0.990200899,0.3919,0.3707,0.2141,0.5462,NA,NA,NA,NA,All
AAAS,0.258006178,79,0.005549667,0.071511014,0.007321185,0.393,2.712,4.976,1.835,NA,NA,NA,NA,All
AACS,0.098539162,109,0.211853554,0.518849053,0.294154183,0.2061,0.2071,0.2042,0.9859,NA,NA,NA,NA,All
AADACL3,0.03742052,106,0.640196454,0.841666627,0.703341778,0.5757,101.9,0.2646,0.002597,NA,NA,NA,NA,All
AADACL4,NA,NA,NA,NA,NA,0.5255,NA,0.5255,NA,NA,NA,NA,NA,All
AADAT,-0.105407567,105,0.190089202,0.491659782,0.072694785,0.5721,0.3943,0.2811,0.4913,NA,NA,NA,NA,All
AAGAB,0.023034161,85,0.797140035,0.919562806,0.900503756,0.7447,0.4393,0.2396,0.3217,NA,NA,NA,NA,All
AAK1,0.24176497,101,0.003214407,0.05130834,0.019024549,430.9,0.2947,26.75,0.06207,NA,NA,NA,NA,All
AAMDC,-0.211295435,41,0.105859795,0.364693077,0.013747631,0.9758,0.3059,1.219,1.249,NA,NA,NA,NA,All
AAMP,0.116406069,53,0.30843712,0.617841344,0.294228465,0.3191,0.3082,0.9157,2.87,NA,NA,NA,NA,All
AANAT,0.066841796,86,0.453013856,0.73229299,0.824004732,0.2414,0.2851,0.2722,0.9546,NA,NA,NA,NA,All
AAR2,-0.176539038,82,0.053091062,0.254355071,0.908384343,19.1,0.3642,1.369,0.07168,NA,NA,NA,NA,All
AARS1,-0.065275133,109,0.408219068,0.70024091,0.503211768,0.2036,0.5846,0.3523,0.6026,NA,NA,NA,NA,All
AARS2,0.18716492,121,0.012392419,0.114637523,0.038778894,11.06,0.2044,3.57,0.3228,NA,NA,NA,NA,All
AARSD1,0.300332733,90,0.000558532,0.017191373,0.05513561,8.163,0.3802,38.61,4.73,NA,NA,NA,NA,All
AASDH,0.002615368,128,0.971316185,0.989367078,0.991157925,6.473,15.46,0.1997,0.01292,NA,NA,NA,NA,All
AASDHPPT,-0.07113033,64,0.492633499,0.757578822,0.377679305,0.2556,0.691,0.3339,0.4832,NA,NA,NA,NA,All
AASS,0.013426547,103,0.868726088,0.950131839,0.84530219,0.2324,0.3891,0.2086,0.5362,NA,NA,NA,NA,All
AATF,0.104854329,114,0.17409179,0.469468651,0.019450012,0.2407,0.2551,0.415,1.627,NA,NA,NA,NA,All
AATK,0.295991826,101,0.000309363,0.011948761,0.876731093,112591,0.309,257.4,0.002286,NA,NA,NA,NA,All
ABAT,0.086096921,90,0.322515488,0.630405296,0.699199281,2.262,0.3563,0.4981,0.2202,NA,NA,NA,NA,All
ABCA12,0.110041927,134,0.121498579,0.39223992,0.786638784,1.813,11139403,0.9233,8.289e-08,NA,NA,NA,NA,All
ABCA2,0.060704801,98,0.466286605,0.740427133,0.284562579,0.213,0.7994,0.312,0.3903,NA,NA,NA,NA,All
ABCA3,-0.053462341,121,0.475025074,0.746507788,0.153698335,1.02,0.4007,0.2421,0.2375,NA,NA,NA,NA,All
ABCA4,0.034584281,131,0.630438039,0.837491752,0.714406429,0.1869,0.2494,0.2452,0.9829,NA,NA,NA,NA,All
ABCA5,-0.181590728,126,0.013259417,0.118206794,0.88273837,649.4,0.4016,3.886,0.005983,NA,NA,NA,NA,All
ABCA6,-0.251258058,119,0.000872167,0.023133272,0.830023231,2.509,1.946,10.97,4.371,NA,NA,NA,NA,All
ABCA8,0.283383383,63,0.006699653,0.08004423,0.012048155,1.617,NA,3.339,NA,NA,NA,NA,NA,All
ABCA9,-0.369645141,112,2.04870326131377e-06,0.000458082,0.849900078,18688,NA,9027,NA,NA,NA,NA,NA,All
ABCB1,-0.231524636,111,0.003069594,0.049784563,0.029211,3.803,0.3804,25.56,6.722,NA,NA,NA,NA,All
ABCB10,0.082698232,107,0.299295155,0.609292811,0.235508682,0.9182,0.6545,0.225,0.245,NA,NA,NA,NA,All
ABCB11,0.141699471,128,0.051395163,0.249577465,0.923389651,27.45,0.2431,1.303,0.04746,NA,NA,NA,NA,All
ABCB4,-0.029527918,111,0.705730806,0.875286093,0.55655268,0.2158,0.3906,0.5437,1.392,NA,NA,NA,NA,All
ABCB5,0.237219112,117,0.00183417,0.036784426,0.055571919,0.2942,3753,27.27,0.007264,NA,NA,NA,NA,All
ABCB6,0.032924393,110,0.675147392,0.860520829,0.968736678,0.4095,0.2681,0.2149,0.5248,NA,NA,NA,NA,All
ABCB7,-0.002100317,98,0.979890291,0.992142768,0.997778186,0.2245,0.2233,0.2519,1.122,NA,NA,NA,NA,All
ABCB8,0.145752675,116,0.056636397,0.26301613,0.100053344,0.6188,0.3086,1.585,2.562,NA,NA,NA,NA,All
ABCB9,-0.071491817,108,0.367293022,0.668047626,0.275262254,0.3682,0.2485,0.4394,1.194,NA,NA,NA,NA,All
ABCC1,-0.050635066,117,0.505995363,0.763911344,0.882765276,0.2954,2.009,0.2499,0.1244,NA,NA,NA,NA,All
ABCC10,0.108371672,127,0.137800172,0.420756598,0.091612086,2.662,0.2331,0.4749,0.1784,NA,NA,NA,NA,All
ABCC11,-0.279640047,110,0.000371514,0.01335134,0.649439099,4.509,0.2051,2.046,0.4538,NA,NA,NA,NA,All
ABCC12,-0.161730959,100,0.049869485,0.245259136,0.130577239,2.676,NA,1.121,NA,NA,NA,NA,NA,All
ABCC3,0.398070386,126,5.65752020852284e-08,3.68624338456188e-05,0.057549855,22290,0.2726,132568,5.947,NA,NA,NA,NA,All
ABCC5,0.050010639,78,0.593302491,0.815185765,0.309295822,0.252,0.235,0.2372,0.9416,NA,NA,NA,NA,All
ABCC6,-0.036946112,129,0.610074204,0.825520419,0.859198494,350,8760467,0.2261,2.581e-08,NA,NA,NA,NA,All
ABCC8,-0.030988338,116,0.68528973,0.865623052,0.315647558,0.2993,0.281,0.2082,0.6957,NA,NA,NA,NA,All
ABCC9,-0.141042268,75,0.139899872,0.423201348,0.887396667,2.176,0.2838,0.4312,0.1981,NA,NA,NA,NA,All
ABCD1,0.021451104,91,0.804226446,0.922249036,0.805063749,0.2712,0.2227,0.2207,0.8136,NA,NA,NA,NA,All
ABCD2,-0.230846561,80,0.012511391,0.115082847,0.068114121,2.317,0.2853,2.346,1.013,NA,NA,NA,NA,All
ABCD3,-0.188532837,71,0.055057282,0.259186938,0.189641619,0.3739,1.179,2.224,1.886,NA,NA,NA,NA,All
ABCD4,-0.028356274,116,0.710761033,0.878079949,0.777688552,0.2043,0.2674,0.236,0.8824,NA,NA,NA,NA,All
ABCE1,NA,NA,NA,NA,NA,1.804,1.014,0.3824,0.212,NA,NA,NA,NA,All
ABCF1,0.243507761,89,0.005400756,0.070580868,0.016116121,0.2963,6.386,12,1.879,NA,NA,NA,NA,All
ABCF2,0.088716363,55,0.428777023,0.715464356,0.518872933,0.2802,0.4166,0.3118,0.7485,NA,NA,NA,NA,All
ABCF3,-0.084518427,77,0.369928918,0.669859204,0.215155118,0.4043,0.2515,0.3945,0.9758,NA,NA,NA,NA,All
ABCG1,0.160230569,74,0.095818375,0.345805437,0.846564352,0.7994,93.48,0.3419,0.003658,NA,NA,NA,NA,All
ABCG4,-0.218165871,71,0.026421747,0.175824291,0.531382761,1.669,0.4908,3.252,1.949,NA,NA,NA,NA,All
ABCG5,0.17419024,108,0.028045778,0.180690413,0.205026757,0.2255,5.59,2.348,0.42,NA,NA,NA,NA,All
ABCG8,0.02023086,121,0.786921176,0.913638662,0.963819263,0.404,0.1963,0.3513,0.8696,NA,NA,NA,NA,All
ABHD1,0.355729124,82,9.72292885104907e-05,0.005436859,0.36437105,45.44,1.955,370,8.142,NA,NA,NA,NA,All
ABHD10,0.068057593,103,0.402160497,0.695067675,0.768842617,0.2703,0.3885,0.2176,0.5602,NA,NA,NA,NA,All
ABHD11,-0.293124073,100,0.000378987,0.013490507,0.242649625,2.165,1.154,78.07,36.06,NA,NA,NA,NA,All
ABHD12,-0.177192033,72,0.069365261,0.292984162,0.347410416,4.447,0.3696,0.7842,0.1763,NA,NA,NA,NA,All
ABHD12B,0.128895574,95,0.12786941,0.403723442,0.125014695,0.2441,219.9,1.35,0.006139,NA,NA,NA,NA,All
ABHD13,-0.224171428,47,0.065386165,0.284022338,0.142725344,0.2983,1.513,0.8462,0.5594,NA,NA,NA,NA,All
ABHD14A,-0.050571163,91,0.558963533,0.795469344,0.800593032,2.873,2.703,0.2434,0.08472,NA,NA,NA,NA,All
ABHD14B,0.200901469,75,0.035495761,0.204277835,0.011603376,0.39,0.6239,2.506,4.016,NA,NA,NA,NA,All
ABHD15,0.007266955,84,0.9357553,0.975393261,0.846093871,0.2424,0.2875,0.2338,0.8134,NA,NA,NA,NA,All
ABHD16A,0.148365074,81,0.106241968,0.365274225,0.011486082,0.402,0.2557,1.317,3.277,NA,NA,NA,NA,All
ABHD16B,0.391546166,80,2.2764858457908e-05,0.002067601,0.014846984,6.806,5.883,2672,392.6,NA,NA,NA,NA,All
ABHD17A,0.145613483,56,0.189875653,0.491410535,0.226898558,0.3232,0.3015,0.388,1.201,NA,NA,NA,NA,All
ABHD17B,NA,NA,NA,NA,NA,0.4633,0.5055,0.4761,0.9419,NA,NA,NA,NA,All
ABHD17C,-0.041425484,47,0.733478056,0.889312471,0.753107113,0.3913,0.2919,0.2899,0.7409,NA,NA,NA,NA,All
ABHD18,-0.077786258,75,0.415576448,0.705463145,0.851809241,0.7493,0.262,0.3387,0.4521,NA,NA,NA,NA,All
ABHD2,0.001250414,48,0.991709069,0.996481577,0.999986358,0.2883,0.2882,0.3044,1.056,NA,NA,NA,NA,All
ABHD3,-0.010982442,76,0.907868501,0.964095618,0.846640704,0.251,0.2375,0.2698,1.075,NA,NA,NA,NA,All
ABHD4,-0.176023775,54,0.11991193,0.38978231,0.08389103,4.494,0.2847,0.8149,0.1814,NA,NA,NA,NA,All
ABHD5,-0.03145547,75,0.741992104,0.892773478,0.739492887,0.5176,0.4126,0.2674,0.5166,NA,NA,NA,NA,All
ABHD6,-0.134909566,76,0.155139528,0.446928289,0.504909584,1.272,0.4145,0.9592,0.7543,NA,NA,NA,NA,All
ABHD8,-0.294887288,65,0.004139624,0.060159788,0.052953882,53.87,0.3254,28.45,0.5281,NA,NA,NA,NA,All
ABI1,-0.063895026,61,0.547671374,0.790693952,0.54975694,0.2678,0.3421,0.2954,0.8636,NA,NA,NA,NA,All
ABI2,0.027158259,49,0.819545666,0.928814289,0.978892638,0.483,0.3079,0.35,0.7246,NA,NA,NA,NA,All
ABI3,0.167199784,79,0.072303359,0.298659906,0.013299244,0.4428,0.3532,1.451,3.278,NA,NA,NA,NA,All
ABI3BP,-0.078491849,129,0.27862038,0.591333383,0.058443653,0.2,0.392,0.2219,0.5659,NA,NA,NA,NA,All
ABITRAM,0.16388319,76,0.084182115,0.323130106,0.025217624,0.2889,318.4,2.23,0.007004,NA,NA,NA,NA,All
ABL1,0.115902938,106,0.147684936,0.43565939,0.134267012,0.9059,0.2086,0.6951,0.7674,NA,NA,NA,NA,All
ABL2,0.018876032,94,0.824494069,0.93125325,0.774225263,0.2303,0.229,0.2166,0.9406,NA,NA,NA,NA,All
ABLIM1,0.009213127,110,0.906643131,0.96354542,0.709669591,0.2035,0.2363,0.2072,0.8768,NA,NA,NA,NA,All
ABLIM2,-0.136721595,95,0.106310428,0.365321732,0.137587916,1.64,0.2288,0.9438,0.5754,NA,NA,NA,NA,All
ABLIM3,0.011924927,62,0.90990393,0.964681006,0.967221914,0.6616,1.346,0.2591,0.1924,NA,NA,NA,NA,All
ABR,0.228690118,54,0.043337508,0.226686175,0.063334948,0.3548,0.5481,0.7466,1.362,NA,NA,NA,NA,All
ABRA,-0.055469535,105,0.490484431,0.756291768,0.824865383,1.789,0.5003,0.3522,0.1969,NA,NA,NA,NA,All
ABRACL,NA,NA,NA,NA,NA,0.4769,0.3497,0.3462,0.726,NA,NA,NA,NA,All
ABRAXAS1,0.08272517,98,0.320804266,0.628934162,0.277882463,0.2147,0.2939,0.2847,0.9689,NA,NA,NA,NA,All
ABRAXAS2,-0.003502713,81,0.969579556,0.989109785,0.974435564,0.2711,0.2317,0.2489,0.9182,NA,NA,NA,NA,All
ABT1,0.180724246,89,0.038942313,0.215585334,0.05015102,3.953,0.3265,1.438,0.3638,NA,NA,NA,NA,All
ABTB1,-0.169005068,90,0.052141597,0.251495221,0.828287059,4204,2.026,1.406,0.0003345,NA,NA,NA,NA,All
ABTB2,0.017637618,88,0.841206075,0.93784493,0.952450353,0.2967,0.2587,0.244,0.8224,NA,NA,NA,NA,All
AC004706,0.313922698,109,6.96786439022627e-05,0.004421967,0.068121951,65389271,0.317,367.8,5.625e-06,NA,NA,NA,NA,All
AC008687,0.282140878,57,0.010363016,0.10231626,0.745436772,45.65,0.2952,6.409,0.1404,NA,NA,NA,NA,All
AC010255,0.28624152,46,0.019988626,0.149602726,0.002233432,0.3214,2.466,1.172,0.4754,NA,NA,NA,NA,All
AC013470,0.086820617,72,0.373562187,0.672941812,0.123869449,0.361,0.293,0.4141,1.147,NA,NA,NA,NA,All
AC013477,0.093755091,70,0.3436,0.647696805,0.566143331,0.2863,0.2724,0.2552,0.8914,NA,NA,NA,NA,All
AC023490,0.097612543,79,0.294076267,0.604321472,0.804724476,0.6239,13.37,0.5149,0.0385,NA,NA,NA,NA,All
AC063943,0.052639779,43,0.679577234,0.862194261,0.630162247,1.113,0.3427,0.3218,0.2891,NA,NA,NA,NA,All
AC084756,0.136448458,45,0.272904962,0.5865128,0.696830882,0.5146,0.4756,0.3095,0.6015,NA,NA,NA,NA,All
AC092835,-0.203144706,105,0.011560616,0.109650252,0.020585258,0.2431,16.57,15.35,0.9259,NA,NA,NA,NA,All
AC093246,NA,NA,NA,NA,NA,0.591,0.4672,0.9683,1.638,NA,NA,NA,NA,All
AC093512,0.017080671,41,0.895995429,0.960465911,0.84249343,0.4252,0.3589,0.3093,0.7273,NA,NA,NA,NA,All
AC099489,-0.108923051,102,0.182151755,0.481312627,0.924679689,1.96,90382,0.857,9.482e-06,NA,NA,NA,NA,All
AC119396,0.089906542,114,0.243852081,0.557748365,0.918608696,32.45,2.561,0.4534,0.01397,NA,NA,NA,NA,All
AC135068,-0.107056267,76,0.259275284,0.571733285,0.885101076,0.3159,0.309,0.2819,0.8925,NA,NA,NA,NA,All
AC138647,0.060069831,78,0.521212756,0.773509047,0.318899619,0.2957,0.6051,0.2441,0.4034,NA,NA,NA,NA,All
ACAA1,-0.215740273,93,0.011706922,0.1104894,0.086503152,0.8855,0.802,5.201,5.873,NA,NA,NA,NA,All
ACAA2,-0.059449358,96,0.48018849,0.749999369,0.824919207,0.2248,1.455,0.3034,0.2085,NA,NA,NA,NA,All
ACACA,-0.267253456,85,0.002859791,0.047824618,0.023318445,2.037,0.7429,17.31,8.496,NA,NA,NA,NA,All
ACACB,-0.091427486,133,0.199951624,0.504711501,0.066124884,0.4963,2.654,0.2534,0.09546,NA,NA,NA,NA,All
ACAD10,0.224867997,79,0.01564603,0.129470684,0.030889134,1.552,0.2354,0.3701,0.2384,NA,NA,NA,NA,All
ACAD11,0.007017934,116,0.926874209,0.972698662,0.864466431,0.2106,1.348,0.2341,0.1737,NA,NA,NA,NA,All
ACAD8,-0.113193174,103,0.163506537,0.458058454,0.099576498,0.2314,5.523,0.4025,0.07287,NA,NA,NA,NA,All
ACAD9,-0.124996514,106,0.118442076,0.387379516,0.175449602,0.2385,0.6521,0.5753,0.8821,NA,NA,NA,NA,All
ACADL,-0.045249608,103,0.577521043,0.804982185,0.715230803,1.363,33.88,0.2146,0.006335,NA,NA,NA,NA,All
ACADM,0.067002793,100,0.41653475,0.706217787,0.517747491,0.9327,6.865,0.2129,0.03101,NA,NA,NA,NA,All
ACADS,-0.033069041,91,0.702362247,0.8739694,0.711483642,0.4289,0.2491,0.3874,0.9033,NA,NA,NA,NA,All
ACADSB,-0.065189632,101,0.426914141,0.713990529,0.786591889,0.3137,3.482,0.3334,0.09576,NA,NA,NA,NA,All
ACADVL,0.247679439,104,0.002184635,0.04041845,0.765333539,9549541,3.069,55.71,5.834e-06,NA,NA,NA,NA,All
ACAP1,0.341663878,90,8.64027247479453e-05,0.005047927,0.101894405,847.5,0.2307,518.2,0.6115,NA,NA,NA,NA,All
ACAP2,0.061937542,60,0.563346358,0.79785016,0.256606163,0.3689,0.3543,0.2864,0.7764,NA,NA,NA,NA,All
ACAP3,0.121240645,89,0.165994762,0.460056056,0.252497207,0.2272,6.806,0.5447,0.08003,NA,NA,NA,NA,All
ACAT1,0.106544004,95,0.208198906,0.515202907,0.723513215,55.14,1.34,0.86,0.0156,NA,NA,NA,NA,All
ACAT2,0.070366433,93,0.410957523,0.702877134,0.718303511,0.3768,0.2868,0.2607,0.6919,NA,NA,NA,NA,All
ACBD3,0.175493841,93,0.040306829,0.219650232,0.406238816,8.508,0.2584,1.695,0.1992,NA,NA,NA,NA,All
ACBD4,0.094614099,51,0.417098565,0.706575965,0.203892742,0.5175,0.3092,0.3619,0.6994,NA,NA,NA,NA,All
ACBD5,-0.059330783,107,0.456476638,0.734617579,0.629407567,0.2333,0.7811,0.25,0.32,NA,NA,NA,NA,All
ACCS,-0.027929937,117,0.713725883,0.879825759,0.606946751,0.1972,0.2169,0.2094,0.9653,NA,NA,NA,NA,All
ACCSL,0.19597665,97,0.019299728,0.146415649,0.207538436,0.819,0.5918,4.614,5.634,NA,NA,NA,NA,All
ACD,-0.01204289,118,0.873772762,0.952002036,0.572366366,0.411,3.372,0.2301,0.06825,NA,NA,NA,NA,All
ACE,0.050440632,117,0.50763013,0.764173292,0.901562447,0.3786,4.018,0.2543,0.06329,NA,NA,NA,NA,All
ACE2,0.208354857,118,0.005985249,0.074667814,0.066697059,0.7115,0.4901,5.925,8.328,NA,NA,NA,NA,All
ACER1,-0.238701509,94,0.005040585,0.067808079,0.026904235,2.754,0.258,8.294,3.012,NA,NA,NA,NA,All
ACER2,-0.090523391,47,0.456834257,0.735035235,0.281850767,0.4122,0.331,0.3195,0.775,NA,NA,NA,NA,All
ACER3,-0.193455006,53,0.090521245,0.336261411,0.323099754,1.423,0.289,2.118,1.489,NA,NA,NA,NA,All
ACHE,-0.088235445,87,0.319030755,0.627180231,0.667538305,0.6172,0.2261,0.4051,0.6565,NA,NA,NA,NA,All
ACIN1,-0.186974354,108,0.018380577,0.142573149,0.060383995,0.5558,0.3478,1.75,3.148,NA,NA,NA,NA,All
ACKR1,0.028009354,109,0.722681956,0.884090758,0.90838178,0.7811,6.611,0.2029,0.03069,NA,NA,NA,NA,All
ACKR2,-0.118154448,101,0.1498732,0.438843256,0.667732349,0.4235,0.4655,1.475,3.17,NA,NA,NA,NA,All
ACKR3,0.075371659,80,0.414844431,0.705428277,0.283222711,0.4413,0.2462,0.379,0.8588,NA,NA,NA,NA,All
ACKR4,-0.00373958,92,0.965338688,0.987007272,0.992067973,0.2195,0.2375,0.2235,0.9409,NA,NA,NA,NA,All
ACLY,-0.026511175,86,0.765987167,0.904149628,0.883088747,0.2881,0.2511,0.2254,0.7825,NA,NA,NA,NA,All
ACMSD,0.001163271,70,0.990624363,0.996140988,0.998152793,0.3213,0.2846,0.3257,1.014,NA,NA,NA,NA,All
ACO1,-0.095622122,93,0.263859841,0.576989905,0.120159213,0.3743,0.234,0.4075,1.089,NA,NA,NA,NA,All
ACO2,-0.021970337,92,0.798489276,0.919766356,0.938326201,0.3821,0.2195,0.3301,0.864,Selection on expression,Colbran et al. 2023,Y,N,Selection_Expression
ACOD1,-0.010700263,113,0.89017591,0.958407958,0.895859213,0.2259,0.2102,0.2231,0.9873,NA,NA,NA,NA,All
ACOT1,0.158610317,53,0.165204859,0.459154306,0.665432996,2.037,0.399,0.4883,0.2396,NA,NA,NA,NA,All
ACOT11,0.037854414,93,0.658259838,0.851798803,0.918394643,0.2919,0.2195,0.2517,0.8623,NA,NA,NA,NA,All
ACOT12,-0.140570857,98,0.091598014,0.337732041,0.596470024,0.2307,1.683,0.9443,0.561,NA,NA,NA,NA,All
ACOT13,-0.24239278,92,0.004852193,0.066122958,0.022761663,0.346,5.44,3.563,0.6549,NA,NA,NA,NA,All
ACOT2,0.011871998,44,0.924886019,0.971963559,0.942939966,0.5609,0.9976,0.3491,0.35,NA,NA,NA,NA,All
ACOT4,-0.062319435,106,0.436309997,0.722101157,0.881148705,0.217,13.49,0.6759,0.0501,NA,NA,NA,NA,All
ACOT6,0.152070526,95,0.072445555,0.298818624,0.769362076,39.83,0.7487,1.242,0.03119,NA,NA,NA,NA,All
ACOT7,0.11384435,96,0.176383312,0.472689613,0.259170844,0.3221,0.5986,0.2149,0.3591,NA,NA,NA,NA,All
ACOT8,-0.297336373,101,0.000290399,0.011482652,0.155203078,1.095,3.997,34.34,8.591,NA,NA,NA,NA,All
ACOT9,0.024390121,102,0.76513404,0.903640849,0.786641327,0.211,0.2385,0.2124,0.8907,NA,NA,NA,NA,All
ACOX1,-0.115415598,99,0.163823861,0.458146169,0.086831422,0.3179,0.5992,0.9673,1.614,NA,NA,NA,NA,All
ACOX2,-0.045649732,124,0.536853136,0.784293342,0.862595778,3.451,402.7,0.2084,0.0005177,NA,NA,NA,NA,All
ACOX3,-0.054437818,126,0.457796567,0.735633774,0.841322791,3.554,585.3,0.2132,0.0003642,NA,NA,NA,NA,All
ACOXL,0.122628117,100,0.137031422,0.419691986,0.133638926,0.2132,44.27,1.5,0.03387,NA,NA,NA,NA,All
ACP1,0.009052328,64,0.930417835,0.973962118,0.961463225,0.4457,0.481,0.2706,0.5626,NA,NA,NA,NA,All
ACP2,-0.124890062,86,0.160891571,0.456457434,0.174241018,1.246,0.2343,1.108,0.889,NA,NA,NA,NA,All
ACP3,0.164039887,107,0.039507098,0.216961965,0.006835766,0.2439,0.6278,3.54,5.639,NA,NA,NA,NA,All
ACP4,0.128902114,100,0.118049546,0.386855565,0.142149086,0.2222,3.307,0.6188,0.1871,NA,NA,NA,NA,All
ACP5,-0.065400339,78,0.48492656,0.752758448,0.918409938,0.4416,0.2363,0.4738,1.073,NA,NA,NA,NA,All
ACP6,-0.038349398,114,0.619116,0.83092176,0.818501043,0.1993,0.6919,0.2687,0.3883,NA,NA,NA,NA,All
ACP7,0.120886943,82,0.185353793,0.485359416,0.384779149,0.3695,887.6,1.079,0.001216,NA,NA,NA,NA,All
ACRBP,0.120731157,106,0.131537337,0.409901963,0.14067467,0.653,151.8,0.4928,0.003246,NA,NA,NA,NA,All
ACSBG1,0.170231629,119,0.024112737,0.165650355,0.694466487,19028,24.81,2.229,0.0001172,NA,NA,NA,NA,All
ACSBG2,0.085410804,119,0.257814297,0.570360107,0.192401573,0.2543,0.2049,0.2785,1.095,NA,NA,NA,NA,All
ACSF2,0.162162359,113,0.036382608,0.207109086,0.262265687,1.153,0.2615,0.4548,0.3946,NA,NA,NA,NA,All
ACSF3,0.117501794,115,0.126041978,0.400013781,0.119154799,1.666,0.2105,0.7824,0.4695,NA,NA,NA,NA,All
ACSL1,-0.115604783,110,0.14114746,0.425620689,0.105953799,0.8743,0.7406,0.235,0.2687,NA,NA,NA,NA,All
ACSL3,-0.013688306,89,0.87572521,0.952836936,0.922056669,0.2488,0.2494,0.3068,1.23,NA,NA,NA,NA,All
ACSL4,-0.019284848,76,0.838967662,0.936621651,0.904035467,0.2694,0.4917,0.2512,0.511,NA,NA,NA,NA,All
ACSL5,-0.170461149,122,0.022188164,0.158083572,0.289621113,0.2981,0.8041,3.101,3.857,NA,NA,NA,NA,All
ACSL6,-0.077049724,93,0.367959596,0.668636171,0.506040633,0.3885,0.2357,0.3203,0.8245,NA,NA,NA,NA,All
ACSM2A,0.083653858,56,0.451372227,0.731071724,0.146790803,0.2892,35909,0.5906,1.645e-05,NA,NA,NA,NA,All
ACSM2B,0.08553372,56,0.441268133,0.725714658,0.145845001,0.2898,47036,0.597,1.269e-05,NA,NA,NA,NA,All
ACSM3,-0.093161154,88,0.289943513,0.600982408,0.501232264,1.248,NA,0.6458,NA,NA,NA,NA,NA,All
ACSM4,0.043378079,87,0.624223801,0.834222994,0.380490776,0.2992,NA,0.2876,NA,NA,NA,NA,NA,All
ACSM5,0.147716745,76,0.119573659,0.38938089,0.339924843,0.2523,NA,0.2383,NA,NA,NA,NA,NA,All
ACSS1,0.105808654,105,0.188408707,0.489740136,0.250595016,0.3835,0.2099,0.2664,0.6948,NA,NA,NA,NA,All
ACSS2,-0.051852743,102,0.525346587,0.776554137,0.156105817,0.2135,0.3802,0.3007,0.7907,NA,NA,NA,NA,All
ACSS3,-0.172295627,94,0.042944754,0.225972643,0.023121802,0.231,0.527,0.5559,1.055,NA,NA,NA,NA,All
ACTA1,NA,NA,NA,NA,NA,0.9015,0.648,0.4693,0.5205,NA,NA,NA,NA,All
ACTA2,NA,NA,NA,NA,NA,0.5335,0.4867,0.6103,1.144,NA,NA,NA,NA,All
ACTB,NA,NA,NA,NA,NA,0.4981,0.4559,0.4598,0.9231,NA,NA,NA,NA,All
ACTBL2,-0.004744276,61,0.964391299,0.986888351,0.992892214,4.571,30108,0.3226,1.071e-05,NA,NA,NA,NA,All
ACTC1,NA,NA,NA,NA,NA,0.4575,0.4616,0.4829,1.046,NA,NA,NA,NA,All
ACTG1,NA,NA,NA,NA,NA,0.4967,0.4952,0.613,1.234,NA,NA,NA,NA,All
ACTG2,NA,NA,NA,NA,NA,0.4483,0.4432,0.572,1.276,NA,NA,NA,NA,All
ACTL10,0.17894411,96,0.033580222,0.198749292,0.070854569,0.8191,0.3335,1.375,1.679,NA,NA,NA,NA,All
ACTL6A,NA,NA,NA,NA,NA,7.334,0.4458,2.506,0.3417,NA,NA,NA,NA,All
ACTL6B,NA,NA,NA,NA,NA,0.5585,0.5325,0.4364,0.7814,NA,NA,NA,NA,All
ACTL7A,0.28195749,103,0.000518884,0.016443917,0.008663342,0.2279,24.05,9.456,0.3932,NA,NA,NA,NA,All
ACTL7B,0.249358683,91,0.003957911,0.05853029,0.023470131,2.129,0.3923,21.33,10.02,NA,NA,NA,NA,All
ACTL8,-0.20644058,95,0.014746514,0.125349549,0.867553751,22.35,0.2158,6.468,0.2894,NA,NA,NA,NA,All
ACTL9,0.112822356,89,0.197395033,0.50121348,0.691170891,0.2551,0.2258,0.2688,1.054,NA,NA,NA,NA,All
ACTN1,0.289334564,78,0.002003168,0.038684884,0.020963018,0.241,833.2,27.18,0.03262,NA,NA,NA,NA,All
ACTN2,-0.048425725,48,0.687365602,0.866711057,0.814854368,0.4626,0.2891,0.4072,0.8802,NA,NA,NA,NA,All
ACTN3,0.180766745,107,0.023280205,0.162343954,0.047550068,0.2046,4.773,1.08,0.2263,NA,NA,NA,NA,All
ACTN4,0.021124424,52,0.854788678,0.943844911,0.878199801,0.2829,0.3769,0.3001,0.7961,NA,NA,NA,NA,All
