X,AUC,N,P,p.adj,PermPval,Carnivora,Cetacean,Combination,ratio,Category,Source,SelectionSignal,GWASSignal,Type
MRPL32,0.08219469,97,0.326449238,0.632962645,0.172706814,0.2154,0.2482,0.2853,1.15,NA,NA,NA,NA,All
MRPL34,0.087271255,61,0.411518777,0.703596166,0.892560332,2.443,0.4232,0.4912,0.2011,NA,NA,NA,NA,All
MRPL35,0.213257906,91,0.013726979,0.120892906,0.055574314,2.215,0.2265,1.803,0.8142,NA,NA,NA,NA,All
MRPL37,0.389162068,122,1.77469325985783e-07,7.59872948349412e-05,0.601545632,251830,0.2026,23795,0.09449,NA,NA,NA,NA,All
MRPL38,-0.118040189,109,0.134767932,0.415904496,0.230287935,0.2074,3.749,0.5218,0.1392,NA,NA,NA,NA,All
MRPL39,0.186531351,100,0.023709706,0.164041391,0.701963981,91.74,0.6753,2.319,0.02528,NA,NA,NA,NA,All
MRPL4,0.12658212,103,0.119188548,0.38837999,0.69280481,0.7079,0.209,0.6208,0.8769,NA,NA,NA,NA,All
MRPL40,-0.126674237,90,0.145514872,0.43216129,0.240936972,0.3653,0.2709,0.6662,1.824,NA,NA,NA,NA,All
MRPL41,-0.045261639,64,0.662404556,0.853477318,0.446480322,0.2589,0.3671,0.2742,0.7469,NA,NA,NA,NA,All
MRPL42,-0.026071962,64,0.801434304,0.921176138,0.910562995,0.4475,0.3689,0.276,0.6168,NA,NA,NA,NA,All
MRPL43,0.036429545,89,0.677254972,0.86135475,0.241765243,0.2219,0.2443,0.2223,0.9102,NA,NA,NA,NA,All
MRPL44,0.017902872,96,0.831632623,0.934524648,0.923864309,0.2505,0.4829,0.2155,0.4463,NA,NA,NA,NA,All
MRPL45,0.026223217,97,0.754228249,0.898675072,0.910892146,0.2153,0.2488,0.2182,0.8771,NA,NA,NA,NA,All
MRPL46,0.045903068,105,0.568258381,0.800594162,0.716936773,0.3259,0.3869,0.2181,0.5636,NA,NA,NA,NA,All
MRPL47,-0.119495065,89,0.172175972,0.46679562,0.114402525,0.2945,1.112,0.9204,0.8276,NA,NA,NA,NA,All
MRPL48,0.177841461,83,0.049927823,0.245259136,0.039624878,0.256,0.3351,0.556,1.659,NA,NA,NA,NA,All
MRPL49,-0.144370663,84,0.109293263,0.371110831,0.111689426,0.6244,0.3577,0.955,1.53,NA,NA,NA,NA,All
MRPL50,0.066828716,90,0.442546973,0.726058641,0.12389509,0.4057,0.2744,0.28,0.6902,NA,NA,NA,NA,All
MRPL51,0.146429847,75,0.125386526,0.398862763,0.051692324,0.3165,0.2521,0.3946,1.247,NA,NA,NA,NA,All
MRPL52,-0.060474641,72,0.535388202,0.783340983,0.580673736,0.4347,0.2468,0.273,0.6281,NA,NA,NA,NA,All
MRPL53,0.035744506,66,0.726109913,0.88646191,0.691140966,0.2524,0.3662,0.2537,0.6927,NA,NA,NA,NA,All
MRPL54,-0.011696106,86,0.895532903,0.960318861,0.980442035,0.2764,0.3395,0.2288,0.6739,NA,NA,NA,NA,All
MRPL55,NA,NA,NA,NA,NA,0.7664,3.463,0.4576,0.1321,NA,NA,NA,NA,All
MRPL57,-0.083755477,70,0.397517021,0.691570707,0.308119732,0.3778,0.2566,0.433,1.146,NA,NA,NA,NA,All
MRPL58,0.068240861,103,0.400894431,0.69390205,0.356790985,1.777,0.4566,0.3946,0.2221,NA,NA,NA,NA,All
MRPL9,0.091602673,101,0.26425695,0.5772881,0.483549146,2.329,0.4097,0.3642,0.1564,NA,NA,NA,NA,All
MRPS10,-0.010004115,86,0.910576601,0.964992926,0.880173247,0.2884,0.551,0.2315,0.42,NA,NA,NA,NA,All
MRPS11,0.031590357,87,0.721276699,0.883886876,0.350196204,0.2543,0.2253,0.2559,1.006,NA,NA,NA,NA,All
MRPS12,0.06788749,75,0.477382982,0.748290238,0.151040838,0.2879,0.3042,0.3584,1.178,NA,NA,NA,NA,All
MRPS14,-0.119697474,49,0.314675986,0.624303141,0.893308974,0.3853,0.3168,0.3855,1,NA,NA,NA,NA,All
MRPS15,0.069036833,98,0.407370889,0.699857156,0.628000757,0.4132,0.2149,0.3231,0.7818,NA,NA,NA,NA,All
MRPS16,-0.010068887,56,0.927771161,0.972974187,0.901770076,0.311,0.2848,0.2806,0.9023,NA,NA,NA,NA,All
MRPS17,0.143218844,57,0.193170339,0.495693612,0.150361873,0.3361,0.2738,0.4771,1.419,NA,NA,NA,NA,All
MRPS18A,0.132084618,86,0.138114527,0.421302884,0.163719293,1.571,0.3058,0.5674,0.3611,NA,NA,NA,NA,All
MRPS18B,0.064411769,87,0.466975746,0.741000715,0.21615914,0.3703,0.2918,0.2588,0.6989,NA,NA,NA,NA,All
MRPS18C,0.043152301,80,0.640616232,0.842055508,0.420195487,0.8091,0.5168,0.2974,0.3676,NA,NA,NA,NA,All
MRPS2,-0.127930465,101,0.118967413,0.387996878,0.256446721,0.2735,2.053,1.733,0.8441,NA,NA,NA,NA,All
MRPS21,NA,NA,NA,NA,NA,0.4421,4.156,0.3426,0.08243,NA,NA,NA,NA,All
MRPS22,0.058476494,102,0.473832434,0.745803622,0.208315547,0.254,0.2307,0.281,1.106,NA,NA,NA,NA,All
MRPS23,0.114441587,90,0.188510606,0.489815828,0.083508301,0.3102,0.3083,0.3917,1.263,NA,NA,NA,NA,All
MRPS24,0.038659454,85,0.666162324,0.855867861,0.088307376,0.8643,0.2889,0.3862,0.4469,NA,NA,NA,NA,All
MRPS25,-0.023926284,71,0.807646806,0.923218539,0.953751295,0.264,0.2685,0.2594,0.9661,NA,NA,NA,NA,All
MRPS26,0.157516885,79,0.090431991,0.336114539,0.0431951,1.126,0.3496,0.4903,0.4353,NA,NA,NA,NA,All
MRPS27,-0.114041351,111,0.144748687,0.43110061,0.242988638,0.2627,0.2428,0.3978,1.514,NA,NA,NA,NA,All
MRPS28,-0.056361277,88,0.52202654,0.77433334,0.794515099,0.2294,0.25,0.2569,1.028,NA,NA,NA,NA,All
MRPS30,-0.084863214,105,0.291457508,0.601788677,0.396899037,0.2506,0.2696,0.2882,1.069,NA,NA,NA,NA,All
MRPS31,0.109758051,104,0.17454021,0.469850834,0.820827002,1.737,0.2508,0.5394,0.3105,NA,NA,NA,NA,All
MRPS33,-0.036984596,44,0.768978437,0.90504287,0.511561446,0.4064,0.3004,0.4121,1.014,NA,NA,NA,NA,All
MRPS34,0.0331751,71,0.735683754,0.890229218,0.550116856,2.152,0.2501,0.5907,0.2745,NA,NA,NA,NA,All
MRPS35,0.024855875,100,0.763115662,0.903112471,0.438522704,0.3146,0.2251,0.2571,0.8171,NA,NA,NA,NA,All
MRPS36,-0.13701421,42,0.288270022,0.599855003,0.858343016,2.974,0.6686,0.5324,0.179,NA,NA,NA,NA,All
MRPS5,-0.01641692,107,0.836752731,0.935620886,0.555162872,0.2388,0.2765,0.2086,0.7546,NA,NA,NA,NA,All
MRPS6,-0.117464615,63,0.26105419,0.573653445,0.377529481,0.3084,0.318,0.4095,1.288,NA,NA,NA,NA,All
MRPS7,0.26638564,94,0.001749964,0.036034205,0.020388842,16.68,0.2765,48.92,2.933,NA,NA,NA,NA,All
MRPS9,-0.064540117,102,0.429219179,0.715811107,0.313355614,0.3963,0.3343,0.2532,0.639,NA,NA,NA,NA,All
MRRF,0.194352985,92,0.02391778,0.164947674,0.032157552,0.4682,0.8272,2.289,2.767,NA,NA,NA,NA,All
MRS2,0.109953318,92,0.201357082,0.506298193,0.536092906,2.16,0.3704,0.5186,0.2401,NA,NA,NA,NA,All
MRTFA,-0.047536746,105,0.554569671,0.793656441,0.856294554,0.3666,0.2476,0.2199,0.5997,NA,NA,NA,NA,All
MRTFB,0.040509975,113,0.60114039,0.820239451,0.489215013,2.996,5.159,0.2146,0.0416,NA,NA,NA,NA,All
MRTO4,-0.06870859,76,0.469055335,0.742652302,0.92200766,0.8305,0.3135,0.3246,0.3909,NA,NA,NA,NA,All
MS4A1,-0.136533199,107,0.086596859,0.328028483,0.090046821,0.4195,0.5064,0.9845,1.944,NA,NA,NA,NA,All
MS4A10,0.207578218,63,0.047020988,0.236483329,0.924127152,2.168,NA,1.678,NA,NA,NA,NA,NA,All
MS4A12,0.139846036,45,0.261141319,0.573653445,0.205440887,0.3764,NA,0.3767,NA,NA,NA,NA,NA,All
MS4A13,-0.147768177,87,0.095164817,0.345248593,0.511039332,3.414,0.2972,0.6879,0.2015,NA,NA,NA,NA,All
MS4A15,0.102812285,88,0.242856931,0.556854831,0.685990298,0.3832,0.2257,0.7416,1.935,NA,NA,NA,NA,All
MS4A18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All
MS4A2,-0.007394,111,0.924670125,0.971909653,0.946169142,0.8968,0.9972,0.2111,0.2116,NA,NA,NA,NA,All
MS4A3,-0.139262125,66,0.172315052,0.46679562,0.333121223,0.5663,NA,0.5663,NA,NA,NA,NA,NA,All
MS4A5,-0.012572454,95,0.881940269,0.954617044,0.926083355,0.2181,NA,0.2164,NA,NA,NA,NA,NA,All
MS4A7,0.081115503,57,0.461122918,0.736934756,0.52826215,0.449,NA,0.3831,NA,NA,NA,NA,NA,All
MS4A8,-0.18769992,96,0.02581008,0.17368202,0.809143471,3.372,NA,2.944,NA,NA,NA,NA,NA,All
MSANTD1,-0.052396622,77,0.578316759,0.805250326,0.769335216,0.2852,0.237,0.2492,0.8738,NA,NA,NA,NA,All
